# SN2018hna magnitudes from Swift UVOT                                                        
# generated Mon Apr 20 12:28:43 CDT 2020 using version 2015.1                                         
# of Peter Brown's photometry pipeline                                                      
# and version Swift_Rel4.5(Bld34)_27Jul2015 of HEASOFT                                                      
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the error) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.   
# The sensitivity correction has been updated based on the 2015 redetermination.        
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, Ap&SS, submitted
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
#                                                                                           
#                                                                                           
# The underlying galaxy had the following count rates                                       
# in a 5 arcsec aperture at the source position  
# (missing filters list 0 but used a background region similar to the SN ):                 
# Galaxy count rates in 5" aperture
# V              0.245710       0.124682
# B              0.430540       0.160389
# U              0.497410       0.114459
# UVW1          0.0866431      0.0402327
# UVM2          0.0235795      0.0152173
# UVW2          0.0799572      0.0288794
#                                                                                           
# There are no known issues with this photometry.                                           
#                                                                                           
# Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
#                                                                                           
UVM2     58506.8556    NULL    NULL  19.837  10.555  -0.006   0.015  3.0  0.0110     886.43   11389.03
UVM2     58513.5994    NULL    NULL  19.953  10.555   0.027   0.015  3.0  0.0110    1246.03   17383.51
UVM2     58521.5437    NULL    NULL  19.830  10.556   0.015   0.016  3.0  0.0110     965.96   69128.78
UVM2     58668.0542    NULL    NULL  19.806  10.556   0.027   0.017  3.0  0.0110     906.12    6227.53
#                                                                                           
UVW1     58414.7039  16.477   0.065  19.492  11.149   2.427   0.146  3.0  0.0110     593.60   17387.65
UVW1     58415.7346  17.577   0.101  19.374  11.151   0.881   0.082  3.0  0.0110     471.73   11543.50
UVW1     58416.8004  18.496   0.170  19.375  11.151   0.378   0.059  3.0  0.0110     471.74   11658.45
UVW1     58419.8241    NULL    NULL  19.224  11.151   0.178   0.058  3.0  0.0110     314.48    5909.75
UVW1     58422.6576    NULL    NULL  19.378  11.150   0.104   0.047  3.0  0.0110     429.41   35066.18
UVW1     58425.4745    NULL    NULL  19.384  11.150   0.101   0.046  3.0  0.0110     442.19   86650.79
UVW1     58428.7554    NULL    NULL  19.438  11.149   0.139   0.045  3.0  0.0110     479.38   23173.31
UVW1     58459.8272    NULL    NULL  19.300  11.148   0.177   0.054  3.0  0.0110     268.37   12452.39
UVW1     58464.9124  18.466   0.192  19.267  11.148   0.389   0.069  3.0  0.0110     243.61    5691.50
UVW1     58466.8420  18.540   0.189  19.310  11.149   0.363   0.063  3.0  0.0110     330.72   28709.01
UVW1     58477.9341  18.197   0.121  19.543  11.148   0.498   0.056  3.0  0.0110     614.72  155248.19
UVW1     58484.9726  18.001   0.122  19.457  11.147   0.597   0.067  3.0  0.0110     412.91    5673.76
UVW1     58492.4753  17.997   0.115  19.502  11.148   0.599   0.064  3.0  0.0110     502.80    6813.29
UVW1     58497.1194  18.133   0.153  19.303  11.148   0.528   0.074  3.0  0.0110     273.15    6665.54
UVW1     58499.3845  17.979   0.108  19.547  11.148   0.609   0.061  3.0  0.0110     600.43   27766.27
UVW1     58506.8476  18.396   0.139  19.530  11.147   0.414   0.053  3.0  0.0110     552.43   11756.98
UVW1     58513.5899  18.686   0.167  19.527  11.147   0.317   0.049  3.0  0.0110     544.54   16627.03
UVW1     58521.5389    NULL    NULL  19.425  11.148   0.128   0.044  3.0  0.0110     390.79   69162.39
UVW1     58522.6998  19.482   0.238  19.687  11.148   0.152   0.033  3.0  0.0110    1429.17   41028.02
UVW1     58531.7004    NULL    NULL  19.669  11.147   0.085   0.032  3.0  0.0110    1179.41   68786.60
UVW1     58536.7466    NULL    NULL  19.703  11.147   0.095   0.031  3.0  0.0110    1615.40   22677.35
UVW1     58543.6760    NULL    NULL  19.676  11.147   0.123   0.033  3.0  0.0110    1259.87   39114.26
UVW1     58550.7155    NULL    NULL  19.702  11.147   0.100   0.031  3.0  0.0110    1615.43   17680.12
UVW1     58558.4717    NULL    NULL  19.671  11.147   0.095   0.032  3.0  0.0110    1235.01   40366.02
UVW1     58572.2410    NULL    NULL  19.635  11.147   0.072   0.033  3.0  0.0110     978.14   97804.37
UVW1     58578.6188    NULL    NULL  19.701  11.147   0.061   0.030  3.0  0.0110    1643.95   40600.07
UVW1     58585.4868    NULL    NULL  19.689  11.147   0.089   0.031  3.0  0.0110    1523.86   23883.66
UVW1     58668.0445    NULL    NULL  19.295  11.150   0.126   0.050  3.0  0.0110     366.66    5977.56
#                                                                                           
U        58414.6715  15.874   0.064  19.205  12.086   9.688   0.568  3.0  0.0110     235.55   11461.10
U        58415.7361  16.548   0.073  19.183  12.095   5.212   0.352  3.0  0.0110     235.54   11463.62
U        58416.8019  17.396   0.103  19.150  12.104   2.385   0.227  3.0  0.0110     235.54   11578.69
U        58419.8255  18.879   0.319  19.023  12.100   0.609   0.179  3.0  0.0110     157.03    5829.63
U        58422.6589    NULL    NULL  19.078  12.086   0.413   0.163  3.0  0.0110     142.95   34931.16
U        58425.4757    NULL    NULL  19.126  12.083   0.123   0.145  3.0  0.0110     149.67   86519.30
U        58428.7562    NULL    NULL  19.196  12.078   0.232   0.139  3.0  0.0110     159.53   23089.93
U        58459.8670  18.312   0.231  18.949  12.059   1.026   0.219  3.0  0.0110      57.62    5617.29
U        58464.9134  18.119   0.181  19.104  12.060   1.226   0.204  3.0  0.0110      81.17    5610.44
U        58466.8428  17.836   0.150  19.073  12.073   1.590   0.219  3.0  0.0110     109.31   28653.01
U        58477.9354  17.605   0.105  19.399  12.064   1.969   0.190  3.0  0.0110     203.32  155151.33
U        58484.9742  17.483   0.108  19.327  12.059   2.202   0.219  3.0  0.0110     137.32    5577.26
U        58492.4774  17.356   0.097  19.393  12.059   2.474   0.220  3.0  0.0110     168.81    6641.50
U        58497.1205  17.484   0.123  19.164  12.059   2.201   0.249  3.0  0.0110      90.07    6556.49
U        58499.3853  17.491   0.098  19.441  12.059   2.185   0.198  3.0  0.0110     199.84   27748.24
U        58506.8491  17.696   0.109  19.434  12.058   1.810   0.182  3.0  0.0110     189.27   11552.52
U        58513.5911  18.286   0.153  19.427  12.058   1.051   0.148  3.0  0.0110     181.40   16585.97
U        58521.5398    NULL    NULL  19.286  12.061   0.079   0.118  3.0  0.0110     129.03   69075.41
U        58522.7031    NULL    NULL  19.627  12.065   0.155   0.091  3.0  0.0110     570.95   40645.47
U        58531.7038    NULL    NULL  19.630  12.059  -0.074   0.085  3.0  0.0110     470.79   68795.63
U        58536.7500    NULL    NULL  19.664  12.061   0.029   0.085  3.0  0.0110     645.00   22547.91
U        58543.6789    NULL    NULL  19.644  12.059  -0.017   0.085  3.0  0.0110     503.99   38807.74
